Num,baseX,baseY,baseZ,baseR,baseP,baseYaw,base_dX,base_dY,base_dZ,base_dR,base_dP,base_dYaw,LF_HAA,LF_KFE,LF_HFE,LH_HAA,LH_KFE,LH_HFE,RF_HAA,RF_KFE,RF_HFE,RH_HAA,RH_KFE,RH_HFE,dLF_HAA,dLF_KFE,dLF_HFE,dLH_HAA,dLH_KFE,dLH_HFE,dRF_HAA,dRF_KFE,dRF_HFE,dRH_HAA,dRH_KFE,dRH_HFE,P_LFx,P_LFy,P_LFz,P_RFx,P_RFy,P_RFz,P_LHx,P_LHy,P_LHz,P_RHx,P_RHy,P_RHz,F_LFx,F_LFy,F_LFz,F_RFx,F_RFy,F_RFz,F_LHx,F_LHy,F_LHz,F_RHx,F_RHy,F_RHz,User_Command
67,0.575802,-0.156664,-2.62325e-37,-2.40915e-32,-1.77116e-30,-0.353721,0.0181985,-0.0157512,3.25439e-42,-5.7867e-25,1.15707e-24,-0.137165,-0.0029747,-1.5805,0.746612,-0.0349231,-1.86966,1.04961,0.0415524,-1.88868,0.966284,-0.000103744,-1.5807,0.765651,0.180902,1.23745,0.842177,0.540379,-2.6538,2.90322,-0.471815,-3.12541,3.57315,-0.282734,-0.215388,-0.465053,0.183656,0.16441,-0.198423,0.171372,-0.158082,-0.167641,-0.194183,0.159154,-0.168387,-0.1701,-0.165021,-0.198347,1.84653e-26,-4.66333e-26,4.74373e-26,0,0,0,0,0,0,0.217073,0.195775,0.0642097,5
68,0.573236,-0.156508,4.23168e-37,-7.15018e-30,1.42916e-29,-0.357046,0.0112445,-0.0161152,-3.52054e-42,-1.07134e-27,-1.63109e-25,-0.166566,0.00840218,-1.57749,0.770916,-0.0119228,-1.92915,1.00549,0.0126155,-1.93155,0.980146,0.00510328,-1.59225,0.766439,0.181643,-0.106219,0.60369,0.65586,-0.676509,-2.24992,-0.82768,-0.507624,-0.775531,-0.0471687,-0.0248269,0.353677,0.178543,0.166667,-0.198193,0.172695,-0.162972,-0.161124,-0.181572,0.163082,-0.161244,-0.169145,-0.163993,-0.19747,0.344115,-0.968302,0.973937,0,0,0,0,0,0,2.96622e-56,-8.18721e-56,7.86865e-56,2
69,0.573324,-0.156886,5.93837e-37,-2.43017e-32,1.0262e-29,-0.363496,0.010191,-0.0162083,-7.4128e-42,-2.72482e-30,2.76812e-25,-0.311283,0.00840218,-1.57749,0.770916,-0.0119228,-1.92915,1.00549,0.0126155,-1.93155,0.980146,0.00510328,-1.59225,0.766439,0.181643,-0.106219,0.60369,0.65586,-0.676509,-2.24992,-0.82768,-0.507624,-0.775531,-0.0471687,-0.0248269,0.353677,0.178543,0.166667,-0.198193,0.172695,-0.162972,-0.161124,-0.181572,0.163082,-0.161244,-0.169145,-0.163993,-0.19747,0.344115,-0.968302,0.973937,0,0,0,0,0,0,2.96622e-56,-8.18721e-56,7.86865e-56,2
70,0.575758,-0.162105,-9.89504e-37,-8.44811e-35,3.99036e-31,-0.372428,0.0165377,-0.0248364,8.23398e-42,-4.53132e-33,-2.04499e-24,-0.445515,0.0103216,-1.56466,0.806529,0.0264757,-1.92512,0.928679,-0.0279817,-1.92558,0.983856,-0.0133645,-1.56247,0.774214,0.0762765,0.619138,0.708479,1.19072,0.939171,-1.37898,-1.22359,0.956575,0.898498,-0.696516,1.32599,-0.402617,0.170161,0.167061,-0.199326,0.171607,-0.169482,-0.15931,-0.169541,0.169242,-0.159403,-0.173595,-0.16767,-0.199408,0.322981,-0.909673,0.916623,0,0,0,0,0,0,0.105181,0.158448,0.913784,4
71,0.575876,-0.162686,-3.56715e-36,-5.26031e-33,-2.59592e-29,-0.382001,0.0155537,-0.0250097,4.452e-41,-1.27233e-25,1.23341e-25,-0.478959,0.0103216,-1.56466,0.806529,0.0264757,-1.92512,0.928679,-0.0279817,-1.92558,0.983856,-0.0133645,-1.56247,0.774214,0.0762765,0.619138,0.708479,1.19072,0.939171,-1.37898,-1.22359,0.956575,0.898498,-0.696516,1.32599,-0.402617,0.170161,0.167061,-0.199326,0.171607,-0.169482,-0.15931,-0.169541,0.169242,-0.159403,-0.173595,-0.16767,-0.199408,0.322981,-0.909673,0.916623,0,0,0,0,0,0,0.105181,0.158448,0.913784,4
72,0.577125,-0.162404,2.38464e-36,1.93181e-30,-1.98675e-30,-0.393623,0.0164201,-0.0228012,-1.98292e-41,-1.80426e-25,1.8042e-25,-0.573352,0.0407655,-1.54197,0.831717,0.0394682,-1.58992,0.720698,-0.0393997,-1.55472,0.794216,-0.0469737,-1.55498,0.738501,-2.02809,0.427027,3.92093,-1.30499,1.62234,-2.28551,2.31735,2.33011,-4.45621,-1.56366,1.64812,2.15843,0.167775,0.169346,-0.199519,0.168717,-0.17466,-0.167558,-0.163247,0.174596,-0.167597,-0.170927,-0.170966,-0.199406,-8.03949e-49,3.16973e-48,1.00294e-47,0,0,0,0,0,0,2.11343e-12,-7.00605e-13,-1.95975e-13,0
73,0.577244,-0.162949,-2.53427e-37,-2.76112e-30,2.76162e-30,-0.405316,0.0154534,-0.022952,3.15016e-42,-4.14069e-28,1.52045e-26,-0.581128,0.0407655,-1.54197,0.831717,0.0394682,-1.58992,0.720698,-0.0393997,-1.55472,0.794216,-0.0469737,-1.55498,0.738501,-2.02809,0.427027,3.92093,-1.30499,1.62234,-2.28551,2.31735,2.33011,-4.45621,-1.56366,1.64812,2.15843,0.167775,0.169346,-0.199519,0.168717,-0.17466,-0.167558,-0.163247,0.174596,-0.167597,-0.170927,-0.170966,-0.199406,-8.03949e-49,3.16973e-48,1.00294e-47,0,0,0,0,0,0,2.11343e-12,-7.00605e-13,-1.95975e-13,0
74,0.57698,-0.161966,-1.6217e-37,-1.85544e-30,1.85606e-30,-0.405316,0.014325,-0.021069,2.01643e-42,-2.78403e-28,2.54929e-26,-0.580414,0.0407655,-1.54197,0.831717,0.0394682,-1.58992,0.720698,-0.0393997,-1.55472,0.794216,-0.0469737,-1.55498,0.738501,-2.02809,0.427027,3.92093,-1.30499,1.62234,-2.28551,2.31735,2.33011,-4.45621,-1.56366,1.64812,2.15843,0.165653,0.174479,-0.198977,0.170928,-0.173834,-0.192727,-0.160434,0.173616,-0.191628,-0.165147,-0.173582,-0.198069,0,0,0,0,0,0,0,0,0,0,0,0,1
75,0.577134,-0.162956,7.61362e-37,9.43427e-30,3.64366e-32,-0.409993,0.0123704,-0.0213352,-9.50527e-42,1.41397e-27,2.01083e-25,-0.0760824,0.0407655,-1.54197,0.831717,0.0394682,-1.58992,0.720698,-0.0393997,-1.55472,0.794216,-0.0469737,-1.55498,0.738501,-2.02809,0.427027,3.92093,-1.30499,1.62234,-2.28551,2.31735,2.33011,-4.45621,-1.56366,1.64812,2.15843,0.165653,0.174479,-0.198977,0.170928,-0.173834,-0.192727,-0.160434,0.173616,-0.191628,-0.165147,-0.173582,-0.198069,0,0,0,0,0,0,0,0,0,0,0,0,1
76,0.576448,-0.162792,-8.53966e-37,2.67876e-32,4.31622e-30,-0.414131,0.009535,-0.0206115,7.10267e-42,1.98644e-25,6.46711e-28,-0.18053,-0.000997831,-1.60261,1.21166,0.000167857,-1.52982,0.597527,0.00192493,-1.53174,0.572924,-0.00016187,-1.60078,1.02643,0.575327,-1.78883,8.47626,0.215,-1.29109,-1.98481,-0.17167,1.14932,-0.138198,0.0220973,-2.03614,8.13642,0.096725,0.16482,-0.179977,0.213975,-0.164616,-0.199604,-0.141105,0.165034,-0.200594,-0.219015,-0.165031,-0.191387,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0.576427,-0.163688,-5.0645e-36,9.5828e-30,-7.64132e-29,-0.422683,0.00754553,-0.0208616,6.31904e-41,2.30768e-22,-1.84614e-21,-0.00439201,-0.000997831,-1.60261,1.21166,0.000167857,-1.52982,0.597527,0.00192493,-1.53174,0.572924,-0.00016187,-1.60078,1.02643,0.575327,-1.78883,8.47626,0.215,-1.29109,-1.98481,-0.17167,1.14932,-0.138198,0.0220973,-2.03614,8.13642,0.096725,0.16482,-0.179977,0.213975,-0.164616,-0.199604,-0.141105,0.165034,-0.200594,-0.219015,-0.165031,-0.191387,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0.576332,-0.162638,-2.94415e-33,2.35622e-26,-1.88497e-25,-0.438711,0.00549975,-0.0180808,1.83818e-38,3.5299e-24,-2.82392e-23,0.349861,-0.00224428,-1.78344,1.23552,0.00661398,-1.57966,0.669213,0.00476934,-1.58581,0.661122,0.00225569,-1.7969,1.24103,1.33879,-1.7728,-5.4841,0.53871,-2.95951,1.26074,0.167021,-1.5537,0.632421,1.97817,-16.0935,1.12158,0.106193,0.165349,-0.168111,0.201961,-0.164465,-0.198167,-0.150378,0.165171,-0.199503,-0.241517,-0.165883,-0.166131,0,0,0,2.51136e-81,-7.39005e-81,6.47866e-81,0,0,0,0,0,0,5
79,0.576268,-0.163008,4.2318e-33,7.60453e-29,-1.22453e-28,-0.453014,0.00449519,-0.0181786,-5.27977e-38,8.65915e-27,1.19478e-20,0.254011,-0.00224428,-1.78344,1.23552,0.00661398,-1.57966,0.669213,0.00476934,-1.58581,0.661122,0.00225569,-1.7969,1.24103,1.33879,-1.7728,-5.4841,0.53871,-2.95951,1.26074,0.167021,-1.5537,0.632421,1.97817,-16.0935,1.12158,0.106193,0.165349,-0.168111,0.201961,-0.164465,-0.198167,-0.150378,0.165171,-0.199503,-0.241517,-0.165883,-0.166131,0,0,0,2.51136e-81,-7.39005e-81,6.47866e-81,0,0,0,0,0,0,5
80,0.574729,-0.161012,-1.0892e-32,-3.04507e-26,5.81011e-26,-0.471031,-0.00103041,-0.0145451,2.68779e-37,-5.79025e-20,1.15804e-19,0.0269647,0.00606008,-1.9284,0.929902,-0.00164085,-1.58277,0.767592,-0.0125125,-1.56211,0.764077,-0.00219673,-1.9274,0.950093,0.69437,0.393489,-6.78521,-0.0437246,0.904492,2.94034,0.261091,0.614914,2.04251,-0.394484,0.739846,-8.07643,0.106193,0.165349,-0.168111,0.201961,-0.164465,-0.198167,-0.150378,0.165171,-0.199503,-0.241517,-0.165883,-0.166131,0,0,0,2.51136e-81,-7.39005e-81,6.47866e-81,0,0,0,0,0,0,5
81,0.574618,-0.160748,3.83781e-31,-4.57219e-26,-1.1064e-24,-0.48312,-0.00237927,-0.013514,-4.56786e-36,-1.64204e-23,-3.39722e-21,0.104544,0.00606008,-1.9284,0.929902,-0.00164085,-1.58277,0.767592,-0.0125125,-1.56211,0.764077,-0.00219673,-1.9274,0.950093,0.69437,0.393489,-6.78521,-0.0437246,0.904492,2.94034,0.261091,0.614914,2.04251,-0.394484,0.739846,-8.07643,0.169582,0.16474,-0.16101,0.18321,-0.168092,-0.19842,-0.163982,0.165015,-0.197317,-0.185658,-0.164775,-0.16108,0,0,0,0.376184,0.373012,0.171722,0,0,0,0,0,0,7
82,0.57445,-0.16095,6.58973e-32,-3.22772e-28,1.32719e-25,-0.458643,-0.00337628,-0.0135638,-1.60752e-36,-4.4875e-26,3.38998e-20,0.376293,0.0326847,-1.80188,0.625752,0.0100332,-1.54933,0.847322,-0.0106503,-1.54275,0.849278,-0.0153912,-1.78595,0.605149,0.483607,5.42891,-8.31262,0.456081,0.670704,1.70663,-0.249892,0.938627,2.22221,-0.334039,5.78396,-8.59273,0.211637,0.169573,-0.164065,0.164564,-0.166876,-0.200556,-0.185477,0.166072,-0.200275,-0.136428,-0.16704,-0.165869,0,0,0,1.65041,-0.797007,1.01225,7.88318e-73,-2.25258e-73,1.05154e-73,0,0,0,2
83,0.57426,-0.161159,-9.81314e-33,9.09609e-29,4.25698e-25,-0.448306,-0.00442577,-0.0136163,1.21433e-37,2.18628e-21,6.37848e-23,0.446444,0.0326847,-1.80188,0.625752,0.0100332,-1.54933,0.847322,-0.0106503,-1.54275,0.849278,-0.0153912,-1.78595,0.605149,0.483607,5.42891,-8.31262,0.456081,0.670704,1.70663,-0.249892,0.938627,2.22221,-0.334039,5.78396,-8.59273,0.211637,0.169573,-0.164065,0.164564,-0.166876,-0.200556,-0.185477,0.166072,-0.200275,-0.136428,-0.16704,-0.165869,0,0,0,1.65041,-0.797007,1.01225,7.88318e-73,-2.25258e-73,1.05154e-73,0,0,0,2
84,0.580429,-0.163623,-1.92931e-32,2.7287e-26,9.45638e-28,-0.414663,0.00856449,-0.0135209,1.60702e-37,2.09814e-23,1.06208e-25,0.447971,0.0326641,-1.62993,0.492207,0.0200251,-1.53142,0.951294,-0.036147,-1.50977,0.977922,-0.015552,-1.6151,0.437119,-0.434838,3.67018,0.223665,0.487044,0.768575,2.44091,-0.266729,1.19147,2.87604,0.273124,3.59576,0.746092,0.23635,0.170959,-0.181377,0.129568,-0.1722,-0.198008,-0.212511,0.168989,-0.198559,-0.104429,-0.167819,-0.18076,0,0,0,0,0,0,0,0,0,0,0,0,6
85,0.580468,-0.163936,4.21972e-33,7.64202e-26,2.29923e-30,-0.407359,0.0076463,-0.013572,-5.25614e-38,-6.4334e-23,2.66536e-28,-0.174525,0.0326641,-1.62993,0.492207,0.0200251,-1.53142,0.951294,-0.036147,-1.50977,0.977922,-0.015552,-1.6151,0.437119,-0.434838,3.67018,0.223665,0.487044,0.768575,2.44091,-0.266729,1.19147,2.87604,0.273124,3.59576,0.746092,0.23635,0.170959,-0.181377,0.129568,-0.1722,-0.198008,-0.212511,0.168989,-0.198559,-0.104429,-0.167819,-0.18076,0,0,0,0,0,0,0,0,0,0,0,0,6
86,0.61899,-0.173719,-1.72916e-33,-5.07856e-28,1.23646e-31,-0.407024,0.0884471,-0.00398651,1.43623e-38,-8.25199e-26,-1.30928e-24,-0.344053,0.0202833,-1.52432,0.569866,0.0183353,-1.55126,1.03168,-0.0347913,-1.52358,1.07123,-0.00361739,-1.52192,0.501769,1.17472,-4.75271,3.47528,0.318153,-1.88986,1.99493,-0.261282,-2.59941,3.16823,-1.12437,1.54997,1.81349,0.223326,0.169912,-0.194551,0.119286,-0.169679,-0.198913,-0.222844,0.167711,-0.198709,-0.114568,-0.166803,-0.19018,0.127352,0.252434,0.726597,0,0,0,0,0,0,0.791426,-0.147905,2.83871,4
87,0.620581,-0.174491,-4.17924e-36,-1.80368e-30,-2.74902e-29,-0.407436,0.0882931,-0.00394747,6.11214e-41,-2.06562e-28,-4.11968e-27,-0.295823,0.0202833,-1.52432,0.569866,0.0183353,-1.55126,1.03168,-0.0347913,-1.52358,1.07123,-0.00361739,-1.52192,0.501769,1.17472,-4.75271,3.47528,0.318153,-1.88986,1.99493,-0.261282,-2.59941,3.16823,-1.12437,1.54997,1.81349,0.223326,0.169912,-0.194551,0.119286,-0.169679,-0.198913,-0.222844,0.167711,-0.198709,-0.114568,-0.166803,-0.19018,0.127352,0.252434,0.726597,0,0,0,0,0,0,0.791426,-0.147905,2.83871,4
88,0.632064,-0.18032,1.80693e-35,-9.90327e-32,3.11519e-32,-0.404231,0.111046,-0.00637256,-1.50404e-40,-3.46606e-24,3.46605e-24,-0.0665948,0.0165121,-1.55972,0.670492,0.0169694,-1.786,1.15698,-0.0279649,-1.75725,1.17955,-0.0118445,-1.56004,0.631581,-0.320707,-0.710737,1.67422,0.0915292,-1.84567,-2.76783,0.471103,-2.69353,-2.71359,-0.0131522,-0.706392,1.95316,0.20982,0.170581,-0.19676,0.110093,-0.171933,-0.187653,-0.226489,0.16771,-0.18769,-0.128095,-0.168032,-0.19772,0.279096,-0.401745,0.547876,0,0,0,0,0,0,0.140817,0.186121,0.615602,6
89,0.636056,-0.182289,-6.3751e-36,-2.43525e-32,3.12641e-32,-0.392521,0.111166,-0.00634056,7.95052e-41,-2.73709e-30,1.66146e-25,0.138629,0.0165121,-1.55972,0.670492,0.0169694,-1.786,1.15698,-0.0279649,-1.75725,1.17955,-0.0118445,-1.56004,0.631581,-0.320707,-0.710737,1.67422,0.0915292,-1.84567,-2.76783,0.471103,-2.69353,-2.71359,-0.0131522,-0.706392,1.95316,0.20982,0.170581,-0.19676,0.110093,-0.171933,-0.187653,-0.226489,0.16771,-0.18769,-0.128095,-0.168032,-0.19772,0.279096,-0.401745,0.547876,0,0,0,0,0,0,0.140817,0.186121,0.615602,6
90,0.67522,-0.194915,-7.88185e-36,-1.62006e-32,3.18316e-32,-0.392521,0.19876,-0.00103504,9.83454e-41,-1.82188e-30,5.6547e-25,0.13995,0.0086334,-1.57585,0.746044,0.00480727,-1.89613,1.05254,-0.00785889,-1.89016,1.06538,-0.00812984,-1.57447,0.71573,-0.202984,-0.100834,2.18063,-0.205112,-1.55491,-3.18458,0.226778,-2.78452,-3.50353,0.110802,0.0731389,1.65246,0.194058,0.167716,-0.198036,0.128274,-0.168408,-0.168968,-0.215634,0.167129,-0.16838,-0.148693,-0.167395,-0.19723,3.69221e-61,3.92953e-61,1.47081e-61,0,0,0,0,0,0,1.33896e-59,-4.03019e-60,-3.02126e-61,6
91,0.682589,-0.197993,-1.51017e-35,-8.8375e-33,-1.8509e-29,-0.385725,0.200532,-0.000903009,1.8851e-40,-2.1295e-25,-4.2867e-25,0.0940867,0.0086334,-1.57585,0.746044,0.00480727,-1.89613,1.05254,-0.00785889,-1.89016,1.06538,-0.00812984,-1.57447,0.71573,-0.202984,-0.100834,2.18063,-0.205112,-1.55491,-3.18458,0.226778,-2.78452,-3.50353,0.110802,0.0731389,1.65246,0.194058,0.167716,-0.198036,0.128274,-0.168408,-0.168968,-0.215634,0.167129,-0.16838,-0.148693,-0.167395,-0.19723,3.69221e-61,3.92953e-61,1.47081e-61,0,0,0,0,0,0,1.33896e-59,-4.03019e-60,-3.02126e-61,6
92,0.709434,-0.207071,-7.09729e-36,-4.03131e-32,2.93706e-32,-0.382367,0.251273,0.00222467,1.73887e-40,-1.05058e-25,9.9667e-30,0.107647,0.00437992,-1.57574,0.81875,-0.00475284,-1.93776,0.888635,0.00646871,-1.93737,0.879491,-0.00484087,-1.57687,0.795033,-0.114072,0.00883169,1.6719,0.0438527,0.435159,-2.46299,-0.0746476,0.405904,-2.97175,0.0785466,-0.0274206,1.87702,0.194058,0.167716,-0.198036,0.128274,-0.168408,-0.168968,-0.215634,0.167129,-0.16838,-0.148693,-0.167395,-0.19723,3.69221e-61,3.92953e-61,1.47081e-61,0,0,0,0,0,0,1.33896e-59,-4.03019e-60,-3.02126e-61,1
93,0.740578,-0.219296,3.30213e-36,7.05183e-31,5.87733e-31,-0.377856,0.312769,0.00266426,-8.13931e-41,1.11773e-24,1.11769e-24,0.182925,0.00437992,-1.57574,0.81875,-0.00475284,-1.93776,0.888635,0.00646871,-1.93737,0.879491,-0.00484087,-1.57687,0.795033,-0.114072,0.00883169,1.6719,0.0438527,0.435159,-2.46299,-0.0746476,0.405904,-2.97175,0.0785466,-0.0274206,1.87702,0.183327,0.166713,-0.1982,0.15518,-0.166287,-0.163491,-0.192153,0.165786,-0.163291,-0.16078,-0.166612,-0.198034,1.48089e-56,1.596e-56,6.45642e-57,0,0,0,0,0,0,5.1769e-67,5.44826e-67,2.13114e-67,5
94,0.74643,-0.22156,-2.13845e-35,-8.57926e-30,-8.54422e-30,-0.370902,0.314686,0.00276208,2.65948e-40,8.77909e-25,1.75711e-24,0.29847,-0.00738365,-1.56632,0.874452,-0.00812432,-1.80926,0.721742,0.00989988,-1.81479,0.705822,0.00371222,-1.56569,0.869404,-0.221359,-0.0199198,0.810264,-0.0377339,4.89699,-3.14276,-0.0104431,3.85624,-3.15489,0.229001,0.251775,1.0892,0.157598,0.163755,-0.199478,0.208237,-0.16334,-0.168878,-0.14449,0.163674,-0.169405,-0.191014,-0.164511,-0.199297,2.84204e-21,3.13666e-21,1.4312e-21,0,0,0,0,0,0,5.29151e-75,5.91039e-75,2.59473e-75,1
95,0.775247,-0.232171,-2.83415e-34,6.48598e-32,1.47165e-30,-0.365772,0.368357,0.00451496,6.9724e-39,-6.38127e-25,1.2768e-24,0.216636,-0.00738365,-1.56632,0.874452,-0.00812432,-1.80926,0.721742,0.00989988,-1.81479,0.705822,0.00371222,-1.56569,0.869404,-0.221359,-0.0199198,0.810264,-0.0377339,4.89699,-3.14276,-0.0104431,3.85624,-3.15489,0.229001,0.251775,1.0892,0.157598,0.163755,-0.199478,0.208237,-0.16334,-0.168878,-0.14449,0.163674,-0.169405,-0.191014,-0.164511,-0.199297,2.84204e-21,3.13666e-21,1.4312e-21,0,0,0,0,0,0,5.29151e-75,5.91039e-75,2.59473e-75,1
96,0.782182,-0.234729,-3.87031e-35,6.01813e-30,-1.21134e-29,-0.364115,0.370762,0.00462837,4.85922e-40,9.01893e-28,-2.15201e-24,0.0753458,-0.00694286,-1.5641,0.900229,-0.00522585,-1.64173,0.663672,0.00764939,-1.70955,0.654296,0.00548385,-1.56069,0.907729,-0.259102,-2.0189,1.92709,-0.0724429,2.65669,0.411928,-0.217784,1.91886,-0.357629,0.0636125,-2.7208,2.58551,0.15678,0.163529,-0.199456,0.209768,-0.163313,-0.170725,-0.143306,0.163606,-0.171845,-0.192283,-0.16426,-0.199385,0,0,0,0,0,0,0,0,0,0,0,0,6
97,0.780974,-0.234162,1.62729e-34,2.84586e-34,-2.09413e-31,-0.363116,0.354528,0.0043787,-4.0071e-39,8.6403e-32,4.82118e-25,0.0432827,-0.00694286,-1.5641,0.900229,-0.00522585,-1.64173,0.663672,0.00764939,-1.70955,0.654296,0.00548385,-1.56069,0.907729,-0.259102,-2.0189,1.92709,-0.0724429,2.65669,0.411928,-0.217784,1.91886,-0.357629,0.0636125,-2.7208,2.58551,0.15678,0.163529,-0.199456,0.209768,-0.163313,-0.170725,-0.143306,0.163606,-0.171845,-0.192283,-0.16426,-0.199385,0,0,0,0,0,0,0,0,0,0,0,0,7
98,0.787655,-0.236606,3.19809e-34,3.3061e-35,1.11543e-28,-0.352913,0.356757,0.00448869,-3.98037e-39,2.09428e-34,6.70079e-24,0.482498,0.0178208,-1.67222,1.05956,0.0235559,-1.56117,0.651214,-0.0142063,-1.61083,0.657474,-0.0128634,-1.69068,1.0587,0.526647,-1.70768,4.00048,0.227091,0.912819,-0.304418,-0.319785,2.10016,0.973154,-0.353096,-2.17179,4.35584,0.148272,0.16409,-0.197134,0.209884,-0.16373,-0.184759,-0.147096,0.164812,-0.193489,-0.20318,-0.164175,-0.197054,0,0,0,1.58518e-26,-5.7056e-27,-1.87193e-27,0.000292268,0.000283593,6.33332e-05,0,0,0,3
99,0.794403,-0.238994,-1.78994e-34,7.64561e-32,5.44539e-29,-0.337971,0.358985,0.00459867,2.23113e-39,1.81873e-24,3.64559e-24,0.72153,0.0178208,-1.67222,1.05956,0.0235559,-1.56117,0.651214,-0.0142063,-1.61083,0.657474,-0.0128634,-1.69068,1.0587,0.526647,-1.70768,4.00048,0.227091,0.912819,-0.304418,-0.319785,2.10016,0.973154,-0.353096,-2.17179,4.35584,0.148272,0.16409,-0.197134,0.209884,-0.16373,-0.184759,-0.147096,0.164812,-0.193489,-0.20318,-0.164175,-0.197054,0,0,0,1.58518e-26,-5.7056e-27,-1.87193e-27,0.000292268,0.000283593,6.33332e-05,0,0,0,3
