Num,baseX,baseY,baseZ,baseR,baseP,baseYaw,base_dX,base_dY,base_dZ,base_dR,base_dP,base_dYaw,LF_HAA,LF_KFE,LF_HFE,LH_HAA,LH_KFE,LH_HFE,RF_HAA,RF_KFE,RF_HFE,RH_HAA,RH_KFE,RH_HFE,dLF_HAA,dLF_KFE,dLF_HFE,dLH_HAA,dLH_KFE,dLH_HFE,dRF_HAA,dRF_KFE,dRF_HFE,dRH_HAA,dRH_KFE,dRH_HFE,P_LFx,P_LFy,P_LFz,P_RFx,P_RFy,P_RFz,P_LHx,P_LHy,P_LHz,P_RHx,P_RHy,P_RHz,F_LFx,F_LFy,F_LFz,F_RFx,F_RFy,F_RFz,F_LHx,F_LHy,F_LHz,F_RHx,F_RHy,F_RHz,User_Command
48,0.543112,-0.142313,-5.46401e-33,4.55568e-27,1.16299e-29,-0.214565,-0.0318422,-0.0136061,6.79777e-38,6.76167e-25,2.76454e-22,-0.278793,0.0177672,-1.56754,0.798465,0.0168946,-1.83047,0.869545,-0.0181757,-1.83499,0.907564,-0.0112175,-1.57709,0.776268,-0.119566,0.085837,0.728918,0.113231,4.8018,-2.67537,-0.0372884,4.45426,-2.03824,-0.508077,0.347358,0.220406,0.17624,0.167515,-0.198241,0.176292,-0.166954,-0.160583,-0.17004,0.166718,-0.160653,-0.171523,-0.165414,-0.198003,7.79044e-34,-3.28711e-34,6.30969e-35,0,0,0,0,0,0,2.91002e-48,-1.05557e-47,1.24755e-47,6
49,0.530872,-0.136889,-1.74692e-33,7.93465e-30,6.73485e-27,-0.218063,-0.0581084,-0.0075144,1.09178e-38,8.89078e-28,6.44806e-23,-0.147646,0.0177672,-1.56754,0.798465,0.0168946,-1.83047,0.869545,-0.0181757,-1.83499,0.907564,-0.0112175,-1.57709,0.776268,-0.119566,0.085837,0.728918,0.113231,4.8018,-2.67537,-0.0372884,4.45426,-2.03824,-0.508077,0.347358,0.220406,0.17624,0.167515,-0.198241,0.176292,-0.166954,-0.160583,-0.17004,0.166718,-0.160653,-0.171523,-0.165414,-0.198003,7.79044e-34,-3.28711e-34,6.30969e-35,0,0,0,0,0,0,2.91002e-48,-1.05557e-47,1.24755e-47,6
50,0.529686,-0.136781,3.26608e-33,-1.07735e-32,2.71411e-28,-0.219206,-0.0600481,-0.0075502,-4.07507e-38,-4.01214e-25,-1.16383e-24,-0.0421842,0.0194007,-1.56244,0.840195,0.0100084,-1.57797,0.73582,-0.00456316,-1.59298,0.808391,-0.00906604,-1.56532,0.819941,-0.562794,-0.168522,1.74895,-0.897721,0.484804,-3.0377,0.2859,3.23172,-1.40888,0.683085,-4.54929,4.21178,0.163198,0.168866,-0.198686,0.172654,-0.165899,-0.19689,-0.164442,0.166983,-0.197796,-0.182452,-0.166809,-0.199258,0,0,0,0,0,0,3.93567e-10,-1.71624e-10,-1.64489e-11,0,0,0,4
51,0.558757,-0.149203,5.05784e-36,-1.57466e-31,-2.61243e-31,-0.2247,0.00393165,-0.0198489,-1.25923e-40,-5.32824e-29,3.84525e-25,-0.249284,0.0194007,-1.56244,0.840195,0.0100084,-1.57797,0.73582,-0.00456316,-1.59298,0.808391,-0.00906604,-1.56532,0.819941,-0.562794,-0.168522,1.74895,-0.897721,0.484804,-3.0377,0.2859,3.23172,-1.40888,0.683085,-4.54929,4.21178,0.163198,0.168866,-0.198686,0.172654,-0.165899,-0.19689,-0.164442,0.166983,-0.197796,-0.182452,-0.166809,-0.199258,0,0,0,0,0,0,3.93567e-10,-1.71624e-10,-1.64489e-11,0,0,0,4
52,0.561574,-0.149717,-1.46967e-36,-7.5392e-35,1.76269e-31,-0.22689,0.00838855,-0.0190318,3.61994e-41,-4.80736e-33,5.96263e-29,-0.10301,0.0140232,-1.72198,0.997268,0.00849209,-1.57833,0.708337,-0.00857789,-1.57132,0.7265,-0.0133874,-1.72319,0.983638,0.469641,-3.76004,3.73729,-0.0386094,-0.836343,0.434007,0.0137311,-0.255678,0.117006,-0.0572304,-2.85005,4.41773,0.151048,0.167971,-0.184595,0.186711,-0.166759,-0.198611,-0.158983,0.166673,-0.197943,-0.194909,-0.167524,-0.183397,0,0,0,3.94895e-48,3.14905e-48,8.78089e-49,0.19912,-0.0840096,-0.00924268,0,0,0,5
53,0.56164,-0.150124,-1.07953e-38,4.3659e-33,9.87877e-33,-0.228054,0.00711941,-0.0191723,1.57037e-43,1.06919e-25,2.13839e-25,-0.046805,0.0140232,-1.72198,0.997268,0.00849209,-1.57833,0.708337,-0.00857789,-1.57132,0.7265,-0.0133874,-1.72319,0.983638,0.469641,-3.76004,3.73729,-0.0386094,-0.836343,0.434007,0.0137311,-0.255678,0.117006,-0.0572304,-2.85005,4.41773,0.151048,0.167971,-0.184595,0.186711,-0.166759,-0.198611,-0.158983,0.166673,-0.197943,-0.194909,-0.167524,-0.183397,0,0,0,3.94895e-48,3.14905e-48,8.78089e-49,0.19912,-0.0840096,-0.00924268,0,0,0,5
54,0.541107,-0.144322,-1.78783e-37,5.65279e-31,1.12589e-30,-0.228067,-0.0373779,-0.0155867,1.4877e-42,8.46977e-29,-1.68752e-25,-0.00314237,0.0125653,-1.88443,0.999061,0.0020986,-1.5851,0.753349,-0.0112381,-1.57201,0.768318,-0.0111307,-1.89414,0.975627,-0.448631,-2.31787,-2.73689,0.0215372,0.458892,1.3407,0.107935,-0.0129552,1.48014,0.418926,-2.03381,-2.34969,0.152278,0.167451,-0.169819,0.18379,-0.167644,-0.198175,-0.161984,0.165637,-0.197128,-0.193723,-0.167015,-0.169917,0,0,0,0.00119082,0.577346,1.39115,8.73831e-68,-3.03762e-67,3.52778e-67,0,0,0,0
55,0.539443,-0.14458,-8.96631e-37,-1.51872e-34,-3.8939e-30,-0.230761,-0.0407213,-0.0157983,1.11703e-41,-3.98695e-27,-8.55663e-27,-0.0685343,0.0125653,-1.88443,0.999061,0.0020986,-1.5851,0.753349,-0.0112381,-1.57201,0.768318,-0.0111307,-1.89414,0.975627,-0.448631,-2.31787,-2.73689,0.0215372,0.458892,1.3407,0.107935,-0.0129552,1.48014,0.418926,-2.03381,-2.34969,0.152278,0.167451,-0.169819,0.18379,-0.167644,-0.198175,-0.161984,0.165637,-0.197128,-0.193723,-0.167015,-0.169917,0,0,0,0.00119082,0.577346,1.39115,8.73831e-68,-3.03762e-67,3.52778e-67,0,0,0,0
56,0.540623,-0.144399,-1.72034e-36,3.01378e-30,6.03645e-30,-0.235646,-0.0383986,-0.0144248,1.43226e-41,-2.95823e-25,9.04744e-28,-0.22419,-0.00380225,-1.94309,0.963391,0.00138571,-1.56592,0.792872,0.00824013,-1.56783,0.80935,0.00397305,-1.94293,0.968841,-0.476632,-0.616614,-0.684406,-0.235875,-0.0567076,0.207547,0.622303,-0.0141382,-0.00242652,0.378473,-0.624541,0.175526,0.152278,0.167451,-0.169819,0.18379,-0.167644,-0.198175,-0.161984,0.165637,-0.197128,-0.193723,-0.167015,-0.169917,0,0,0,-0.0307978,0.671404,1.60115,-0.000621147,0.0771631,0.185505,0,0,0,6
57,0.539792,-0.144497,1.59003e-36,-7.52796e-31,2.10761e-32,-0.243312,-0.040033,-0.0145168,-1.9833e-41,-1.13218e-28,2.36576e-30,-0.363513,-0.00380225,-1.94309,0.963391,0.00138571,-1.56592,0.792872,0.00824013,-1.56783,0.80935,0.00397305,-1.94293,0.968841,-0.476632,-0.616614,-0.684406,-0.235875,-0.0567076,0.207547,0.622303,-0.0141382,-0.00242652,0.378473,-0.624541,0.175526,0.152278,0.167451,-0.169819,0.18379,-0.167644,-0.198175,-0.161984,0.165637,-0.197128,-0.193723,-0.167015,-0.169917,0,0,0,-0.0307978,0.671404,1.60115,-0.000621147,0.0771631,0.185505,0,0,0,6
58,0.578192,-0.1576,5.00495e-38,-3.03147e-35,6.86341e-32,-0.249115,0.0430066,-0.0236295,-1.24129e-42,-8.14026e-33,1.30518e-25,-0.288609,-0.00380225,-1.94309,0.963391,0.00138571,-1.56592,0.792872,0.00824013,-1.56783,0.80935,0.00397305,-1.94293,0.968841,-0.476632,-0.616614,-0.684406,-0.235875,-0.0567076,0.207547,0.622303,-0.0141382,-0.00242652,0.378473,-0.624541,0.175526,0.152278,0.167451,-0.169819,0.18379,-0.167644,-0.198175,-0.161984,0.165637,-0.197128,-0.193723,-0.167015,-0.169917,0,0,0,-0.0401634,0.828086,2.03778,-0.00192635,0.118435,0.317306,0,0,0,7
59,0.578094,-0.158252,2.6628e-36,-3.01899e-31,2.16894e-31,-0.25065,0.0404809,-0.0241362,-6.50485e-41,-3.91995e-25,3.91964e-25,-0.0794344,-0.0245848,-1.9057,0.907218,-0.0132804,-1.58217,0.797288,0.0144628,-1.57716,0.792499,0.0243371,-1.90644,0.951177,-1.93723,1.78833,-1.48413,-0.333252,-0.84491,0.138618,-0.359975,0.0458835,-0.258185,1.91297,1.91816,1.64683,0.176297,0.164395,-0.159277,0.169921,-0.163353,-0.200123,-0.176981,0.165277,-0.199796,-0.174583,-0.164368,-0.159311,0,0,0,-0.0202432,0.644248,1.60959,0.470923,-0.209748,0.0165839,0,0,0,4
60,0.578749,-0.15892,2.20483e-36,-1.73365e-29,1.73359e-29,-0.260569,0.0396232,-0.0243157,-2.74e-41,7.05582e-25,-7.05583e-25,-0.451712,-0.0458935,-1.74612,0.811534,-0.0368662,-1.59203,0.815239,0.0269186,-1.58508,0.764339,0.0457257,-1.66708,0.888215,0.647227,1.58567,-1.51491,-0.0258751,0.773889,1.11918,0.693874,0.137717,-0.28979,-0.113326,5.85933,-1.91968,0.181881,0.161801,-0.16316,0.173832,-0.161841,-0.199704,-0.176587,0.162683,-0.199298,-0.173821,-0.161959,-0.163201,0,0,0,0.105797,0.204693,1.53687,7.75798e-90,-3.63261e-90,1.39725e-91,0,0,0,6
61,0.579381,-0.159594,-2.5985e-36,3.11292e-30,-3.11317e-30,-0.27551,0.0387655,-0.0244952,3.24093e-41,4.68788e-28,-4.68789e-28,-0.739541,-0.0458935,-1.74612,0.811534,-0.0368662,-1.59203,0.815239,0.0269186,-1.58508,0.764339,0.0457257,-1.66708,0.888215,0.647227,1.58567,-1.51491,-0.0258751,0.773889,1.11918,0.693874,0.137717,-0.28979,-0.113326,5.85933,-1.91968,0.181881,0.161801,-0.16316,0.173832,-0.161841,-0.199704,-0.176587,0.162683,-0.199298,-0.173821,-0.161959,-0.163201,0,0,0,0.105797,0.204693,1.53687,7.75798e-90,-3.63261e-90,1.39725e-91,0,0,0,6
62,0.576574,-0.156553,1.90779e-37,5.61818e-33,-4.26576e-33,-0.290355,0.0292862,-0.0186903,-1.57624e-42,-4.70798e-26,9.41604e-26,-0.763371,-0.0458935,-1.74612,0.811534,-0.0368662,-1.59203,0.815239,0.0269186,-1.58508,0.764339,0.0457257,-1.66708,0.888215,0.647227,1.58567,-1.51491,-0.0258751,0.773889,1.11918,0.693874,0.137717,-0.28979,-0.113326,5.85933,-1.91968,0.181881,0.161801,-0.16316,0.173832,-0.161841,-0.199704,-0.176587,0.162683,-0.199298,-0.173821,-0.161959,-0.163201,3.72259e-66,-1.01015e-65,9.58161e-66,0,0,0,0,0,0,0,0,0,4
63,0.577018,-0.157077,2.37953e-37,-7.16052e-31,1.4323e-30,-0.305519,0.0283476,-0.0188136,-2.97043e-42,-1.07319e-28,4.38623e-27,-0.765564,-0.0331933,-1.65987,0.760828,-0.0514476,-1.65821,0.88698,0.0512752,-1.64374,0.798392,0.0293905,-1.58377,0.815103,-0.171012,2.24952,0.448489,-0.765747,-2.09198,2.11525,0.412422,-1.48256,1.54981,-0.807344,1.47521,-0.522769,0.186141,0.15664,-0.1834,0.180583,-0.159652,-0.199439,-0.178792,0.157689,-0.199317,-0.18536,-0.156285,-0.191838,3.72259e-66,-1.01015e-65,9.58161e-66,0,0,0,0,0,0,0,0,0,4
64,0.576241,-0.156423,-8.46613e-37,-1.67395e-32,-5.76479e-30,-0.327354,0.0244193,-0.0171016,7.04586e-42,-5.86653e-25,-5.87515e-25,-1.07301,-0.0029747,-1.5805,0.746612,-0.0349231,-1.86966,1.04961,0.0415524,-1.88868,0.966284,-0.000103744,-1.5807,0.765651,0.180902,1.23745,0.842177,0.540379,-2.6538,2.90322,-0.471815,-3.12541,3.57315,-0.282734,-0.215388,-0.465053,0.187013,0.159135,-0.192522,0.18133,-0.154369,-0.190082,-0.184961,0.154782,-0.188865,-0.179458,-0.160743,-0.197391,1.71946,1.65834,0.507915,0,0,0,0,0,0,1.07703,-0.534541,0.172917,7
65,0.576584,-0.156901,-5.12609e-36,-1.8257e-29,-1.82751e-29,-0.342832,0.0234526,-0.0172076,6.39732e-41,-2.73627e-27,-2.7383e-27,-0.787258,-0.0029747,-1.5805,0.746612,-0.0349231,-1.86966,1.04961,0.0415524,-1.88868,0.966284,-0.000103744,-1.5807,0.765651,0.180902,1.23745,0.842177,0.540379,-2.6538,2.90322,-0.471815,-3.12541,3.57315,-0.282734,-0.215388,-0.465053,0.187013,0.159135,-0.192522,0.18133,-0.154369,-0.190082,-0.184961,0.154782,-0.188865,-0.179458,-0.160743,-0.197391,1.71946,1.65834,0.507915,0,0,0,0,0,0,1.07703,-0.534541,0.172917,7
66,0.575559,-0.156241,3.68822e-36,-4.16406e-32,-6.01334e-32,-0.351302,0.019196,-0.0156606,-3.0668e-41,-4.69517e-30,-6.5609e-25,-0.441379,-0.0029747,-1.5805,0.746612,-0.0349231,-1.86966,1.04961,0.0415524,-1.88868,0.966284,-0.000103744,-1.5807,0.765651,0.180902,1.23745,0.842177,0.540379,-2.6538,2.90322,-0.471815,-3.12541,3.57315,-0.282734,-0.215388,-0.465053,0.183656,0.16441,-0.198423,0.171372,-0.158082,-0.167641,-0.194183,0.159154,-0.168387,-0.1701,-0.165021,-0.198347,1.84653e-26,-4.66333e-26,4.74373e-26,0,0,0,0,0,0,0.217073,0.195775,0.0642097,5
